,epoch,condition,win,wname,item,rt,channel,mean,subj
0,0,correct/related,-200..0,baseline,26,696,F7,-2.2804134521325694,17
1,0,correct/related,-200..0,baseline,26,696,F5,-2.6881915705326045,17
2,0,correct/related,-200..0,baseline,26,696,F3,-4.15710647426536,17
3,0,correct/related,-200..0,baseline,26,696,F1,-4.3488702449989445,17
4,0,correct/related,-200..0,baseline,26,696,Fz,-2.40412973707178,17
5,0,correct/related,-200..0,baseline,26,696,F2,-5.5675287034662775,17
6,0,correct/related,-200..0,baseline,26,696,F4,-5.804729175531944,17
7,0,correct/related,-200..0,baseline,26,696,F6,-4.384731560923387,17
8,0,correct/related,-200..0,baseline,26,696,F8,-7.020719892368791,17
9,0,correct/related,-200..0,baseline,26,696,FT7,-3.1838299759815984,17
10,0,correct/related,-200..0,baseline,26,696,FC5,-4.515225227984327,17
11,0,correct/related,-200..0,baseline,26,696,FC3,-5.223155465269629,17
12,0,correct/related,-200..0,baseline,26,696,FC1,-10.29538820865007,17
13,0,correct/related,-200..0,baseline,26,696,FCz,-3.2259316157614215,17
14,0,correct/related,-200..0,baseline,26,696,FC2,-3.6178367172612815,17
15,0,correct/related,-200..0,baseline,26,696,FC4,-5.879594103409402,17
16,0,correct/related,-200..0,baseline,26,696,FC6,-5.643109662995622,17
17,0,correct/related,-200..0,baseline,26,696,FT8,-5.948272836677746,17
18,0,correct/related,-200..0,baseline,26,696,T7,-5.815671861572293,17
19,0,correct/related,-200..0,baseline,26,696,C5,-8.232017803138666,17
20,0,correct/related,-200..0,baseline,26,696,C3,-3.379177695189555,17
21,0,correct/related,-200..0,baseline,26,696,C1,-5.508499143774775,17
22,0,correct/related,-200..0,baseline,26,696,Cz,-1.4753286833826964,17
23,0,correct/related,-200..0,baseline,26,696,C2,-6.955987928921937,17
24,0,correct/related,-200..0,baseline,26,696,C4,-7.9400619096555785,17
25,0,correct/related,-200..0,baseline,26,696,C6,-9.007407249259167,17
26,0,correct/related,-200..0,baseline,26,696,T8,-10.007407818618475,17
27,0,correct/related,-200..0,baseline,26,696,CP5,-8.266278899417433,17
28,0,correct/related,-200..0,baseline,26,696,CP3,-6.561555964020066,17
29,0,correct/related,-200..0,baseline,26,696,CP1,-6.599864201721283,17
30,0,correct/related,-200..0,baseline,26,696,CPz,-5.247482698927213,17
31,0,correct/related,-200..0,baseline,26,696,CP2,-6.288893016464757,17
32,0,correct/related,-200..0,baseline,26,696,CP4,-7.349969184645498,17
33,0,correct/related,-200..0,baseline,26,696,CP6,-9.055013567865757,17
34,0,correct/related,-200..0,baseline,26,696,P5,-7.660614865211626,17
35,0,correct/related,-200..0,baseline,26,696,P3,-8.820196648513251,17
36,0,correct/related,-200..0,baseline,26,696,P1,-5.025170029246967,17
37,0,correct/related,-200..0,baseline,26,696,Pz,-6.0509635431959,17
38,0,correct/related,-200..0,baseline,26,696,P2,-6.537507818224422,17
39,0,correct/related,-200..0,baseline,26,696,P4,-8.668080423129126,17
40,0,correct/related,-200..0,baseline,26,696,P6,-9.613864440590927,17
41,0,correct/related,-200..0,baseline,26,696,P8,-7.1130328490389045,17
42,0,correct/related,-200..0,baseline,26,696,PO3,-5.163512477721134,17
43,0,correct/related,-200..0,baseline,26,696,POz,-5.169758262129145,17
44,0,correct/related,-200..0,baseline,26,696,PO4,-8.346951741154513,17
45,0,correct/related,-200..0,baseline,26,696,Oz,-4.853552555918906,17
46,1,correct/unrelated,-200..0,baseline,79,582,F7,0.6401348598566229,17
47,1,correct/unrelated,-200..0,baseline,79,582,F5,-0.5895292342901367,17
48,1,correct/unrelated,-200..0,baseline,79,582,F3,-2.144318421341345,17
49,1,correct/unrelated,-200..0,baseline,79,582,F1,3.223270685459742,17
50,1,correct/unrelated,-200..0,baseline,79,582,Fz,-5.952813665014622,17
51,1,correct/unrelated,-200..0,baseline,79,582,F2,-2.1715243032389817,17
52,1,correct/unrelated,-200..0,baseline,79,582,F4,-1.7888848671572528,17
53,1,correct/unrelated,-200..0,baseline,79,582,F6,-1.5114120476316264,17
54,1,correct/unrelated,-200..0,baseline,79,582,F8,1.8069971418609474,17
55,1,correct/unrelated,-200..0,baseline,79,582,FT7,4.92166062110629,17
56,1,correct/unrelated,-200..0,baseline,79,582,FC5,-2.2604462036108313,17
57,1,correct/unrelated,-200..0,baseline,79,582,FC3,-2.5359731080799524,17
58,1,correct/unrelated,-200..0,baseline,79,582,FC1,-6.34140319444745,17
59,1,correct/unrelated,-200..0,baseline,79,582,FCz,-2.1059439749659763,17
60,1,correct/unrelated,-200..0,baseline,79,582,FC2,-1.093393126700538,17
61,1,correct/unrelated,-200..0,baseline,79,582,FC4,-0.014732481299806482,17
62,1,correct/unrelated,-200..0,baseline,79,582,FC6,-1.2809928667788562,17
63,1,correct/unrelated,-200..0,baseline,79,582,FT8,-2.803161231875498,17
64,1,correct/unrelated,-200..0,baseline,79,582,T7,-3.1137650463988895,17
65,1,correct/unrelated,-200..0,baseline,79,582,C5,-4.407171984493755,17
66,1,correct/unrelated,-200..0,baseline,79,582,C3,-2.3723425706086783,17
67,1,correct/unrelated,-200..0,baseline,79,582,C1,-1.1848280928270352,17
68,1,correct/unrelated,-200..0,baseline,79,582,Cz,-3.5866350452122497,17
69,1,correct/unrelated,-200..0,baseline,79,582,C2,-2.4821630772178422,17
70,1,correct/unrelated,-200..0,baseline,79,582,C4,-2.792934967558372,17
71,1,correct/unrelated,-200..0,baseline,79,582,C6,-4.55309224598624,17
72,1,correct/unrelated,-200..0,baseline,79,582,T8,-4.060698564240558,17
73,1,correct/unrelated,-200..0,baseline,79,582,CP5,-2.546173948466644,17
74,1,correct/unrelated,-200..0,baseline,79,582,CP3,-1.9139947984832417,17
